Dữ liệu,Phương pháp,Uniform_acc,Uniform_f1,Random_acc,Random_f1
BC,KNN,0.9649122807017544,0.9640151515151516,0.9736842105263158,0.9729323308270676
BC,RDF,0.9736842105263158,0.9729323308270676,0.9736842105263158,0.9729323308270676
BC,MICE,0.9736842105263158,0.9729323308270676,0.9824561403508771,0.9821036106750393
BC,DAE,0.9322807017543859,0.9288874680306906,0.9498245614035088,0.9475960622419817
BC,VAE,0.9147368421052632,0.9120454545454546,0.976140350877193,0.9751428346580625
CE,KNN,0.7572254335260116,0.3665834884114363,0.7976878612716763,0.3648462021343377
CE,RDF,0.7803468208092486,0.41316201187579515,0.8063583815028902,0.3620039982166228
CE,MICE,0.7427745664739884,0.3685834911839265,0.8410404624277457,0.6809902208162293
CE,DAE,0.7656647398843931,0.3792986916679909,0.7887861271676301,0.36321095226843103
CE,VAE,0.05179190751445087,0.03540616246498599,0.7367630057803468,0.22875420875420877
CMC,KNN,0.4915254237288136,0.47549321275792256,0.4745762711864407,0.464629799731866
CMC,RDF,0.488135593220339,0.47730141550476435,0.5152542372881356,0.5072113060187193
CMC,MICE,0.4711864406779661,0.4633509792388297,0.511864406779661,0.5010446273467782
CMC,DAE,0.48779661016949155,0.4460047381784573,0.44372881355932203,0.4259288004958634
CMC,VAE,0.4979661016949153,0.4473712564288859,0.4810169491525424,0.3673625140291807
IM,KNN,0.9619047619047619,0.9615908666000353,0.969047619047619,0.9695164552307409
IM,RDF,0.9571428571428572,0.9574517454171934,0.9809523809523809,0.9813305889157283
IM,MICE,0.9714285714285714,0.971651223034548,0.9809523809523809,0.980921263452088
IM,DAE,0.8604761904761905,0.8555654169460302,0.839047619047619,0.8373723849199988
IM,VAE,0.6152380952380953,0.6029624383306725,0.7152380952380952,0.7163504301904261
TTT,KNN,0.6770833333333334,0.6242424242424243,0.6822916666666666,0.5139240506329115
TTT,RDF,0.6979166666666666,0.6417910447761195,0.7291666666666666,0.7039848197343452
TTT,MICE,0.7083333333333334,0.6950998185117967,0.8072916666666666,0.7840401276789786
TTT,DAE,0.6866666666666666,0.4843417611159547,0.5877083333333334,0.5867563820243047
TTT,VAE,0.67625,0.41622641509433966,0.67625,0.41622641509433966
